room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
15023220,1556,90096724,Shared room,,Montreal,,Rosemont-La Petite-Patrie,4,5.0,1,1.0,,52.0,,2017-08-10 12:16:04.309376,45.544091,-73.594396,0101000020E6100000E33785950A6652C023861DC6A4C54640
1132103,1556,4162573,Shared room,,Montreal,,Ville-Marie,20,5.0,1,1.0,,53.0,,2017-08-10 12:16:04.306407,45.506773,-73.568754,0101000020E6100000075E2D77666452C077BF0AF0DDC04640
16852877,1556,112242374,Shared room,,Montreal,,Ville-Marie,0,0.0,1,1.0,,22.0,,2017-08-10 12:16:03.221824,45.499342,-73.561761,0101000020E6100000C5CA68E4F36352C076C24B70EABF4640
15868419,1556,37807481,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,0,0.0,2,1.0,,11.0,,2017-08-10 12:16:03.216672,45.497517,-73.620404,0101000020E6100000AF93FAB2B46752C01E1A16A3AEBF4640
7067433,1556,36987539,Shared room,,Montreal,,Verdun,5,5.0,2,1.0,,14.0,,2017-08-10 12:16:01.807632,45.458891,-73.571854,0101000020E61000008E058541996452C0E1B6B6F0BCBA4640
13274638,1556,20707779,Shared room,,Montreal,,Rosemont-La Petite-Patrie,2,0.0,2,1.0,,20.0,,2017-08-10 12:16:01.788446,45.54761,-73.574754,0101000020E6100000B14F00C5C86452C0357BA01518C64640
12851518,1556,70209623,Shared room,,Montreal,,Rosemont-La Petite-Patrie,1,0.0,1,1.0,,12.0,,2017-08-10 12:16:01.740811,45.551003,-73.575831,0101000020E61000007841446ADA6452C0BB7F2C4487C64640
9575322,1556,567555,Shared room,,Montreal,,Ville-Marie,1,0.0,1,1.0,,30.0,,2017-08-10 12:16:01.737634,45.527419,-73.550308,0101000020E61000008AAE0B3F386352C0FF243E7782C34640
12198743,1556,65575546,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,0,0.0,1,1.0,,16.0,,2017-08-10 12:16:01.734540,45.462416,-73.629742,0101000020E6100000BABA63B14D6852C0D5928E7230BB4640
17993466,1556,109574051,Shared room,,Montreal,,Ville-Marie,2,0.0,1,1.0,,25.0,,2017-08-10 12:16:01.732133,45.493142,-73.581011,0101000020E610000071E7C2482F6552C05B24ED461FBF4640
14840821,1556,91918138,Shared room,,Montreal,,Le Plateau-Mont-Royal,5,5.0,2,1.0,,23.0,,2017-08-10 12:16:01.729544,45.530713,-73.571452,0101000020E6100000F6CE68AB926452C0F1475167EEC34640
